rank,artist,album,genre,review
24,Wayne Phoenix,soaring wayne phoenix story the earth,Electronic,"An enigma this one, the debut release - a decade in the making - from an artist about which we know very little. It’s a mysterious, confessional beauty -  a diaristic mix of half-cut songs and textured, bittersweet electronic collage that we urge you to check if you’re into anything from Klein to Burial, Tricky to Mica Levi, Young Echo to RZA’s Ghost Dog OST."
25,Mark Fell And Will Guthrie,Infoldings / Diffractions,Electronic,"Released as two separate vinyl LP’s, Mark Fell & Will Guthrie’s Infoldings / Diffractions is now also available as one combined digital edition, released via  Koshiro Hino’s (Goat, YPY) newly minted NAKID label. Informed/inspired by Gamelan and South Indian Carnatic musics, this set comes with a big recommendation if you’re into Autechre, Michael Ranta, The Necks, Milford Graves."
26,Peter Zinovieff & Lucy Railton,RFG Inventions for Cello and Computer,Electronic,"Remarkable collaboration between inventor, synth pioneer and EMS co-founder Peter Zinovieff and preeminent cellist Lucy Railton, capturing a life-altering dialogue between two figures with a more than 50-year age gap between them, and with very little shared musical vocabulary."
27,Ulla,Tumbling Towards A Wall,Electronic,"Immersively sensual, diaristic entries by cult US ambient avatar Ulla (aka Ulla Straus), the first release on Experiences Ltd, a new label run by Special Guest DJ (uon, Caveman Paradise), and a big recommendation if yr feeling Huerco S, Nadia Khan, Dominique Lawalrée, Ryuichi Sakamoto."
28,Oï Les Ox,Crooner qui coule sous les clous,Electronic,"Unreal début from French musician, artist, writer and dramaturge, Oï les Ox; basically one of the craftiest albums we’ve heard all of this damned 2020 - riddled with melodic ohrwurms - a massive RIYL Trevor Duncan’s La Jetée soundtrack to the most enigmatic oddities from Broadcast to Julia Holter, Teresa Winter to Nozomu Matsumoto and Rian Treanor’s disruptive rhythms."
29,The Necks,Three,Jazz / Fusion,"Breathtaking new studio album from The Necks, saddling up for a glorious route taking in fast flowing polyrhythms and revelatory soundscapes - really one of their strongest in a flawless catalogue that now spans 30 years and with a closing track that once again taps into that Talk Talk thing they do so well..."
30,Sockethead,Harj-o-Marj,Electronic,"Outta-nowhere DIY blinder from YOUTH; the sprawling debut album by Manchester-based painter, artist, DJ/producer Richard Harris aka Sockethead, recorded in a caravan on the Scottish West Coast and sweeping from fractal jungle to outsider folk and bruised, squashed soul music, think something like John Bender via Actress and into a Jandek/Robert Wyatt jam, highly recommended if u were feeling similarly singular Northwest tangents from FUMU, Turinn, G.H."
31,Senyawa & Stephen O’Malley,Bima Sakti,Dark Ambient / Drone / Metal,"Ancient Indonesian tradition meets doom metal in profoundly Ur ways on Stephen O’Malley and Senyawa’s collaborative commission for choreographer Gisèle Vienne, highly recommended if you’re into Sunn O))), Keiji Haino, Nazoranai, Phurpa, KTL."
32,Laila Sakini,"Into the Traffic, Under the Moonlight",Electronic,"'Into the Traffic, Under the Moonlight’ is a new set of songs woven from the same fibre as Laila Sakini’s stunning ‘Vivienne’ album - one of the records we listened to - and loved - most this year, expanding its minimalist palette of piano, voice and effects to include some percusive samples, cello, bass clarinet, flute and hand claps."
33,Eiko Ishibashi,Hyakki Yagyo,Electronic,"A new solo album by Eiko Ishibashi, following on from the duo recording Ichida alongside bassist Darin Gray. Hyakki Yagyō (Night Parade of One Hundred Demons) was produced for the ‘Japan Supernatural’ exhibition at The Art Gallery of New South Wales, Sydney focusing on ghost stories and folklore from the Edo period onwards."
34,U,Lowlands,Electronic,"This one was pressed up in such a small run back at the start of the year that barely anybody caught sight of it, which is a shame cos it’s a deadly little thing. It starts off in the vicinity of Carl Craig’s Psyche/BFC classics and ends on a sorta woozy sea-shanty somewhere between Laurie Anderson's ‘O Superman’ and This Mortal Coil’s Song To The Siren. Basically, the best all-over-the-place vibes. ‘Lowlands’ thrills with a broad and fully formed mix of styles that’s impossible to pin down."
35,Ewa Justka,Upside Down Smile,Electronic,"Knockout punch of computer music noise and hardcore techno razz from Ewa Justka, a catalytic figure on the live algorithmic coding circuit. Like the gleefully evil sister of EVOL, instrument builder and producer Ewa Justka has brilliantly and belligerently pushed the saltiest brand of sound and rhetoric for half a decade since releasing one of the earliest numbers on Calum Gunn’s Conditional in 216."
36,Ben Bertrand,Manes,Electronic,"Exquisite bass clarinet nocturnes from Belgium, recorded in 2019 but feasibly coming from any point over the last 40 years - another boutique waffle off the Stroom griddle. Comparisons between bass clarinet-favouring Ben Bertrand and Colin Stetson are perhaps inevitable, but where the Canadian often goes macho, Brussels-based Bertrand is ineffably cooler, and better considered along with sax player Alex Zhang Hungtai’s knack for huffably intoxicating atmospheres."
37,Golem Mecanique,"Nona, Decima et Morta",Dark Ambient / Drone / Metal,"Staggering avant-folk hymns by France’s Karen Jebane aka Golem Mecanique, eliding haunting vocals with billowing hurdy-gurdy-like tones from a rare French instrument. She takes all the time she needs to cast two spellbinding durational works full of visceral, slow-burning and dissonant energy. Hand-picked for release on Stephen O’Malley’s Ideologic Organ, you can trust this one’s as vital and heavy as your life, as he explains below."
38,Lyra Pramuk,Fountain,Electronic,"Operatic ambient-pop meets contemporary classical in strikingly distinguished form - imagine Julianna Barwick duetting with Antony Hegarty at Holly Herndon’s lab and you’re not far off this singular bouquet. “Lyra Pramuk’s debut Fountain explores a post-human, non-binary understanding of life. Lyra Pramuk fuses classical training, pop sensibilities, performance practices and contemporary club culture in what may best be described as futurist folk music."
39,Okkyung Lee,Yeo-Neun,Modern Classical / Ambient,"Ravishing, dream-like debut by Okkyung Lee’s chamber ensemble, placing a rarely paralleled instrumental guile and imagination at the service of Shelter Press’ beautiful series of carefully hand-picked editions."
40,Jim O'Rourke,Shutting Down Here,Electronic,"Recorded at INA GRM and Steamroom, covering a period of thirty years, the gap between the two visits Jim O'Rourke made to the GRM, featuring Eiko Ishibashi on piano, Atsuko Hatano on violin and viola and Eivind Lonning on trumpet .  ""Shutting Down Here"" is an exceptional recording, commencing GRM's brand new series of releases ""Portraits GRM"" and covering 30 years of activity from Jim O'Rourke."
41,Jon Collin & Demdike Stare,Sketches Of Everything,Electronic,"Ostensibly Demdike Stare's first proper full-length collaboration, 'Sketches Of Everything' weaves dark moorland ambient blues into guitarist Jon Collin’s windswept Americana. It's a highly evocative swing between porchside strums, sludge doom and weathered dub noise somewhere between Bruce Langhorne’s soundtrack for ‘The Hired Hand’, Neil Young's 'Dead Man', Loren Mazzacane Connors at his most swoonsome and a screwed Prince Jazzbo - proper stoner vistas."
42,Phelimuncasi,2013-2019,Electronic,"Crucial selection of raw, darkside early gqom from pioneering Durban trio Phelimuncasi, setting the gripping vocals of twins Makan Nana and Khera, and Malathon, to cranky technoid club engines by DJ Menzi, DJ Mp3, and DJ Scoturn, all showcased for first time outside South Africa on the ever vital Nyege Nyege Tapes. Unmissable for fans of dark, heavy dance music of all stripes!"
43,1995 Epilepsy,1995 epilepsy,Jungle / Footwork,"Killlller avant-’95 jungle rolige, noise and ruffneck club rudeness from some unknown entity on the label that's sometimes home to Dean Blunt and Inga Copeland. We haven’t a chuffing clue who’s behind this lot, but it sounds to our ears like Mica Levi, Andy Stott and Lolina bunkered down for a night with some research chemicals and watched loads of mid ‘90s rave videos in the studio."
44,Ann Margaret Hogan,Honeysuckle Burials,Modern Classical / Ambient,"Stunning album from Ann Margaret Hogan aka Annie Hogan - prolific collaborator with the likes of everyone from Nick Cave to Simon Fisher Turner’s Deux Filles, Kraftwerk’s Wolfgang Flur, Lydia Lunch and countless others - here resurfacing on Karl O’Connor’s Downwards label, of all places, for a gorgeous swirl of reflective solo piano and field recordings that somehow reminds us of Virginia Astley’s life changing early 80’s masterpiece ‘From Gardens Where We Feel Secure’ - one of our favourite"
45,David Toop,Field Recording and Fox Spirits,Modern Classical / Ambient,"Master field recordist, author and sound theorist David Toop presents a poignant, deeply trippy tableaux inspired by Chinese ghost stories and including recordings of his grandpa’s memories of 1901, a blind street group in Chiang Mai, and Ornette Coleman in conversation - wonderfully transitory, metaphysical stuff of rare substance. From David Toop: What are field recordings?"
46,Eyvind Kang,Ajaeng Ajaeng,Modern Classical / Ambient,"One of the most prolific and gifted composers for strings of his generation, Eyvind Kang returns to Ideologic Organ with sublime experimental classical fusions of Eastern and Western traditions. Leading on from last year’s ‘Chirality’, Kang cuts a more minimalist figure on ‘Ajaeng Ajaeng’ with a quietly spellbinding elision of the Sitar-like Indian Tanpura with Korean Ajaeng and their European cousin the Harpsichord."
47,Shinichi Atobe,Yes,Electronic,"Shinichi Atobe’s fifth album for DDS, his first in two years. Deep and sublime, the classic Chain Reaction < > Chicago House vibe, but this time with a swarming Drexciyan undercurrent, somewhere between DJ Sprinkles, Dopplereffekt and The Other People Place, and yet still 100% Shinichi. It’s odd working with an artist without ongoing dialogue; no context or an exchange of ideas. It’s all conjecture."
48,Sarah Davachi,"Cantus, Descant",Modern Classical / Ambient,"The new Sarah Davachi record is an 80 minute, 17 track double album meditation on impermanence and endings, framed by minimalistic organ études and careful harmonic layering. On two tracks the artist’s own vocals are also heard for the first time. This is the first release on the artist’s own label, Late Music."
49,Metal Preyers,Metal Preyers,Electronic,"Incredible album of ruffneck outernational soundsystem abstractions brought together by Uganda’s by-now infamously fecund Nyege Nyege crew; an impressionistic industrial/ambient soundtrack where chopped & screwed gristle meets ballistic singeli and mutant electro-acholi. If you’re into anything from King Midas Sound to classic Talking Heads, Nearly God and The WIld Bunch - this one’s a stone cold killer."
50,Jasmine Inifiniti,BXTCH SLÄP,Electronic,"Brooklyn-based queer nightlife luminary Jasmine Infiniti self-released her debut album, BXTCH SLÄP, in March 2020. Dark Entries steps forward to present the album remastered and on double vinyl.  ""Over the thirteen disruptive club cuts of BXTCH SLÄP, Jasmine conjures occult rave incantations with sub-tectonic bass and seductive harmonies."
51,Valentina Magaletti & Marlene Ribeiro,Due Matte,Electronic,"Valentina Magaletti (Raime, Tomaga, Vanishing Twin) & Marlene Ribeiro (Gnod, Negra Blanca) venture their oneiric style of “tropical concrete” in a gently head-swilling duo following Horn of Plenty’s excellent Moniek Darge reissue. Respectively, Magaletti and Ribeiro are responsible for roles on some of the past decade’s most definitive, chthonic recordings."
52,Dj Chengz,St Lucian Kuduro Mixtape,Electronic,"Absolutely fire showcase of St. Lucia’s Kuduro Soca or “Dennery Segment” sound, a local style notorious for slack lyrics and its hi-NRG pace, here served up spicy as fuck by one of the Caribbean island’s premiere DJs for Uganda’s Nyege Nyege Tapes. Packing pure heat from the town of Dennery in St."
53,Rian Treanor,File Under UK Metaplasm,Electronic,"We hardly need any convincing on the quality of Rian Treanor's productions as he's been completely unfuckwithable from day one, but ""File Under UK Metaplasm"" is still next damn level.  Rian bashed out the initial demos on returning from a trip to Uganda in 2018 for Nyege Nyege Festival."
54,Anna Von Hausswolff,All Thoughts Fly,Dark Ambient / Drone / Metal,"Magnum opus-weight album from organist and electro-acoustic composer Anna von Hausswolff, the entire record consists of just one instrument -  the pipe organ, and represents absolute liberation of the imagination. It's a masterwork of gothic classical beauty - a must check for fans of Kali Malone, Kara-Lis Coverdale."
55,Nozomu Matsumoto,Sustainable Hours - Soundtrack for installation by Nile Koetting,Electronic,"Nozomu Matsumoto follows up his stunning HD orchestral // text-to -speech début for The Death Of Rave with this haunting ambient soundtrack originally recorded for Maison Hermès, Tokyo, as a soundtrack for an installation by Nile Koetting. It’s undoubtedly one of the year’s most necessary and strangely apt ambient excursions; a beautiful, quietly heartbreaking trip highly recommended if you’re into 0PN, Sam Kidel, James Ferraro, TCF, Eno, Midori Takada and Japanese environmental recordings."
56,Claire Rousay,Both,Modern Classical / Ambient,"Inception-like, lower case sound collage and experimentation from claire rousay, drawing out spectral apparitions from a library in San Antonio and conjuring a super immersive sort of magick realism in her debut for Second Editions - RIYL Sarah Hennies, Alvin Lucier, Luc Ferrari claire rousay’s first vinyl release commits two beguiling works intended by the artist to question the “sensitivities of sound in relation to “the self” and “the other”, equally”, with results that investigate the"
57,Rhodri Davies,Telyn Rawn,Modern Classical / Ambient,"Rhodri Davies (Apartment House/Hen Ogledd) charms with this gorgeous suite of improvisations on a C.13th Horsehair harp specially built for this release - the maiden voyage on his Amgen Records Seemingly recorded in a stone cottage in medieval times, but actually captured in Newcastle upon Tyne, 2020; ’Telyn Rawn Amgen’ revolves around a flurry of 18 poetic improvisations on the transportable, lightweight sort of harp that was used to accompany Welsh and Irish bards back-in-the-day."
58,Group Rhoda,Passing Shades,Industrial / Wave / Electro,"One of the most distinctive artists to arise from the last decade’s fixation with post-punk/new wave returns with a tight new spin on her mercurial synth-pop style Making her 2nd mark on Dark Entries after a respectable lack of singles - just 3 solid solo albums for them, NNF, and Night School - Mara Barenbaum’s Group Rhoda exerts an ever finer control over her machines with needlepoint drum programming and wiry synths complemented by ethereal vocals that lurk in the space between light and"
59,Lol K,The Breeze,Electronic,"Yeah this is the shit; the standout debut album of intricately woven, asymmetric and offbeat drill/pop from London’s Lol K, starring vocals by Coby Sey and LA Timpa. It’s a shockingly strong followup to their debut EP for Mica Levi and co’s Curl Recordings, developing a crafty set of queer, sensuous pop, configured in brilliant, surprising ways for Halcyon Veil. Highly recommended if yr into  Vegyn, Mica Levi, Tirzah, Yves Tumor, Slowthai..."
60,Arca,KiCk i,Electronic,"Produced and recorded by Arca, KiCk i defines a new era of multiplex harmony for the Venezuelan artist, singer, DJ, performer and experimental music composer, featuring appearances from Björk, Rosalía, Shygirl and SOPHIE, this is the first time Arca has invited collaborators into her world, previously having lent her sound to some of the decades most avant-pop artists."
61,Ana Roxanne,Because of a Flower,Electronic,"Ana Roxanne follows up the short-and-sweet ""~~~"" with this devastatingly beautiful full-length for Kranky, joining the dots between the label's past and present with heartbreaking sounds that remind us of Labradford, Windy & Carl, Grouper and beyond. The album was written over the last five years, when the LA-based, Oakland-raised artist released that debut EP."
62,Niagara,Pais & Filhos,Electronic,"Príncipe’s dreamiest act supply a special batch of fizzing electronic exotica and ambient vignettes echoing the Black Atlantic waves of Drexciya, Iasos’ blessed new age harmonies, and the windswept wist of Zoviet France - a crafty change in styles following their ‘Apologia’ album, and stacks on their Ascender label..."
63,Cucina Povera,Tyyni,Electronic,"Pure nether-pop magick from Glasgow-based Maria Rossi, chasing up her LP ‘Zoom’ with a return to studio-based sorcery after 2018’s ‘Hilja’ worked its way into a lot of AOTY lists."
64,Buttechno,PSY X,Electronic,"Buttechno dishes up his best since the ‘City 2’ side with a superb set of Russian formula rave noise and cyber-alien ballads for his pals at Moscow’s Gost Zvuk  Ragging it between chewed lip phet-tek and high velocity acid trance via a clutch of bitter and exquisite beat-less squat-chamber works, the diversity and queasy rave urge shared by all the tracks sets ‘Psy X’ up as one of Buttechno’s strongest this side of the hard-to-find ‘City 2’ or his ace soundtrack for Gosha Rubchinskiy."
65,Tatsuhisa Yamamoto,Ashioto,Modern Classical / Ambient,"Steeply absorbing solo debut of smoky free improvisation, reverberating between ECM-like jazz/classical and electro-acoustic dimensions for the ideal home of such enigmatic stuff; Oren Ambarchi’s Black Truffle. ‘Ashioto’ extends an immersive introduction to the solo work of Japanese drummer/percussionist/composer Tatsuhiro Yamamoto following a decade of collaborations with notables including Jim O’Rourke, Eiko Ishibashi, Phew, and Arve Henriksen."
66,Maths Balance Volumes,A Year Closer,Dark Ambient / Drone / Metal,"Breathtakingly unique dust'n'bones drone-folk-noize workouts from Minnesota trio Maths Balance Volumes, who accurately paint a painful picture of 2020 while refusing to ignore the past, cramming harrowing folk and blues wails into ghostly shells of genre-agnostic experimentation. A late highlight of a trying year."
67,Dj Pembroke,Space Rider/Elements/F2,Techno / House,"Killer debut of raw, deeply off-centre acid, house and techno swag from DJ Pembroke Chasing up appearances on Emperor’s first two memory stick releases, Pembroke lands on the label’s first 12” with three choice cuts taking in the Funkineven-like acid grind and astro pads of ‘Space Rider’ and the sprung acid pump of ‘Elements’ on the front, backed with the wickedly wonky techno drive of ‘F2’."
68,Mj Guider,Sour Cherry Bell,Electronic,"Stunning dream-pop/post-punk side from New Orleans’ MJ Guider, galvanising her shoegaze sound with industrial rhythms sounding out between Cocteau Twins, Tropic of Cancer and Seefeel in an amazing sophomore album for eternal dreamers at Kranky Arriving four years after her ‘Precious Systems’, which benefitted beautifully from studio mixing rendered by Turk Dietrich and Josh Eustis ov NIN/Second Woman esteem, ’Sour Cherry Bell’ channels a more pronounced sense of southern Gothic mystique and"
69,Prutser,Netels,Industrial / Wave / Electro,"Gloomy darkwave pop pearls from Belgian duo Victor De Roo and Frederik Willem Daem aka Prutser, debuting a haunted, theatric sound on the home of such stuff; Stroom Forming De Roo’s 2nd 7” after his low key addictive outing with Vanderschrick in 2018, ‘Netels’ sees the Stroom and Kontakt Group staffer team up with Daem for a typically minimalist pair of dark pop curios riddled with absorbing detail and melodic turns of phrase."
70,Felicia Atkinson,Everything Evaporate,Electronic,"Félicia Atkinson returns with a stunning album of sensurreal storycraft dedicated to abstract expressionist painter Helen Frankenthaler and featuring spectral drones, gongs, bells, piano and marimbas accompanying Atkinson’s voice. RIYL Éliane Radigue, Jim O’Rourke, Luc Ferrari."
71,The Soft Pink Truth,Shall We Go On Sinning So That Grace May Increase?,Electronic,"Matmos’ Drew Daniel wraps up a sensitive anti-fascist statement with ‘Shall We Go On Sinning So That Grace May Increase?’ in his 4th album proper as The Soft Pink Truth, starring guest vocals by Colin Self, Angel Deradoorian, and Jana Hunter. It's quite a trip... Daniel returns to dancefloor-wise fundamentals and more sensuous styles here that link back to the project’s emergence as the result of a bet by Matthew Herbert that Daniel couldn’t produce a decent house record."
72,Lucy Railton & Max Eilbacher,"Forma / Metabolist Meter (Foster, Cottin, Caetani and a Fly)",Electronic,"Both pieces commissioned by INA GRM, Lucy Railton’s piece first performed on the Acousmonium at INA GRM's Multiphonies Concert Series, Maison de la Radio, Paris 2019, Eilbacher side recorded November 2018-March 2019 in Baltimore, Maryland.  Two side-long pieces here from GRM's new ""Portraits GRM"" series, an offshoot of ""Recollection GRM"" geared towards more recent commissions for the pioneering French experimental outfit."
73,Cv & Jab,Landscape Architecture,Modern Classical / Ambient,"Beautifully serene and contemplative, ‘Landscape Architecture’ sees classical minimalists Christina Vantzou & John Also Bennett describe quizzical scenes on their follow-up to a sterling 2018 debut for Shelter Press, all recently mixed and self-released on the duo’s Editions Basilic imprint. RIYL Harry Partch, Félicia Atkinson, Jim O’Rourke, Luc Ferrari, Catherine Christer Hennix, Pan American."
74,Parris,Polychrome Swim,Techno / House,"On his first solo mission in 2 years, Parris pedals between stepping house and swanging ambient brokebeats in a lush new addition to his prized discography."
75,Jake Muir,the hum of your veiled voice,Modern Classical / Ambient,"The sferic label add to a strong run of releases from Space Afrika, Perila, Echium and Roméo Poirier with a stunning new LP from Jake Muir; a fabrication of impressionistic cityscapes describing L.A. at dusk, and Berlin dawning, highly recommended if you’re into Pinkcourtesyphone, Gas, Philip Jeck, Jan Jelinek. ’The hum of your veiled voice’ was written by Muir in the wake of his transition from a life in Los Angeles to a new start in Berlin."
76,Crys Cole,Beside Myself,Electronic,"crys cole beckons us to listen closer with the skin touch intimacy, isolationism and drone poetry of her 2nd solo album, leading on from a string of uniquely quizzical collaborations with Oren Ambarchi, Francis Plagne, Leif Elggren. “Beside Myself is the second full-length release from Canadian sound artist crys cole."
77,Luar Domatrix,Nova Vida Passada,Electronic,"Killer, freaked R&B, pop and tarraxho zingers from one half of Lisbon/Glasgow’s Yong Yong, Luar Domatrix, spinning perpendicular to Principe, Equiknoxx and Hakuna Kulala in wicked screwball style . TIP!!!!"
78,Jessy Lanza,All The Time,Electronic,"Synth-pop soul queen Jessy Lanza once again teams up with Jeremy Greenspan (Junior Boys) for a delicious 3rd album of melodic ohrwurms and gilded grooves. After writing 2016's ""Oh No"", Jessy Lanza relocated to New York City, leaving her creative partner Jeremy Greenspan (of Junior Boys) in Hamilton Ontario. This latest album is the first she has worked on long distance, firing ideas and sketches back and forth and allowing the personal diary of new experiences to inform her writing."
79,Bill Nace & Graham Lambkin,The Dishwashers,Electronic,"Bill Nace and Graham Lambkin rustle up a lowkey liminal gem on Nace’s Open Mouth label traversing room and field recordings of zonked folk strums and waking life weirdness. Unbuckled from any fixed style, ‘The Dishwashers’ occurs with a deceptively casual approach that belies the fact this is only the second time they’ve recorded together, following a first meeting in Kentucky during 2018."
80,Britton Powell,If Anything Is,Electronic,Totally unmissable debut full-length of free-floating ambient dream sequencing and avant garde percussion from pivotal NYC producer/sound artist Britton Powell for Brooklyn’s Catch Wave Ltd. - label behind 2016’s prized Dominique Lawalrée compilation as well as last year’s mind-melter from Leila Bordreuil.
81,Dijit,Hyperattention - Selected Dijital Works vol 1,Electronic,"Mesmerising debut album of blue and abstracted trip hop from Cairo's Dijit, making their first appearance for Andy Lyster’s YOUTH with a smoked-out, downbeat sound reminding us of Leila’s uber-classic debut album ‘Like Weather', Tricky’s Pre-Millennium Tension, with echoes of Tirzah, ZULI and Msylma. Perfectly low-lit and charged with a slow, nocturnal energy, ‘Hyperattention: Selected Digital Works Vol."
82,Regis,Hidden In This Is The Light That You Miss,Electronic,"Finally, Regis lets his rhythmic noise opus out into the world, a bruising and hauntingly absorbing new album - his first since 2001 - recorded in Berlin with Einstürzende Neubauten’s engineer/producer Boris Wilsdorf and an absolute must if you want a dose of highest grade industrial rhythmic noise or into anything from British Murder Boys to Test Department, Jeff Mills and Cabaret Voltaire."
